authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Arum italicum Mill.,Arum italicum,NA,Italian arum,25–60 cm high,NA,herb,0.6,"NZ Flora Online: bank, cliff, forest, hill, lowland, moist, open, pasture, roadside, rock outcrop, sand, shrubland, silt, terrace, wasteland. NZPCN: Heavily disturbed shrubland and forest, herbfield, damp areas with low cover, regenerating ex-pasture",NA,berry,fleshy,fleshy,0.039,internal,NA,internal,NA,NA,NA,NA,NA,Thompson 1976; Webb et al. 1988; Esler 1988,"""Observations in New Zealand suggest that domestic poultry & wild birds may be agents of dispersal"" (Webb et al. 1988). probably bird-dispersed but this has not been confirmed by direct observation (Esler 1988).",NA,NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,1,1,0
Arundo donax L.,Arundo donax,NA,giant reed,NZPCN: Little or no seed set in New Zealand; NZ Flora Online: Caryopsis not seen,reed,shrub,5,"NZ Flora Online: bank, clay, cliff, coast, dry, gorge, lowland, margin, moist, open, pasture, ridge, riparian, roadside, rock outcrop, sand, scrubland, sheltered, shrubland, silt, slope, stone, tussockland, unstable/eroded, wasteland, wetland; NZPCN: Often aquatic. Emergent. Moist forest communities, lowland and coastal forest, streamside and gully communities, intertidal areas, shrublands, alluvial areas, roadsides, farm hedges, wastelands, domestic gardens, coastal areas in general. Prefers areas where the soil does not dry out completely.",riparian,caryopsis,dry,NA,1.0879999999999999e-4,NA,NA,NA,NA,NA,NA,NA,NA,"Fromont & King 1992; 1.Cook, C.D.K. 1987. Dispersion in aquatic and amphibious vascular plants. In: Plant Life in Aquatic Habitats (Ed. by R.M.M. Crawford), pp. 179-190. Special Publication no 5, British Ecological Society. Blackwell Scientific Publications, Oxford.",NA,NA,NA,rare,2022-06-02T00:00:00Z,45033,NA,0,0,NA
Asparagus aethiopicus L.,Asparagus aethiopicus,NA,bushy asparagus,NA,NA,herb,NA,"NZ Flora Online: bank, cliff, coast, dry, margin, open, pasture, roadside, rock outcrop, sand, shaded, sheltered, shrubland, stone",NA,berry,fleshy,fleshy,0.038340000000000006,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Asparagus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,NA,NA,NA,2022-06-02T00:00:00Z,NA,2023-06-15T00:00:00Z,1,1,0
Asparagus asparagoides (L.) Druce,Asparagus asparagoides,NA,smilax,low growing creeper or climber,vine,shrub,NA,"NZ Flora online:  bank, clay, cliff, coast, dry, forest, gravel, gully, hill, lava, loam, lowland, margin, open, pasture, roadside, rock outcrop, sand, scrubland, shaded, sheltered, shrubland, slope, stone, terrace, track, wasteland. NZPCN: Thrives in impoverished soils, bare rock and volcanic soils. Likes good drainage. Coastal areas, open rocklands, shrubland, roadsides, hedges, wastelands, inshore and offshore islands. Plants are typically found under tree canopies which is largely due to bird movement but also reflects greater seedling establishment in leaf litter and better growth in shaded or part-shaded environments.",NA,berry,fleshy,fleshy,0.0054,internal,NA,internal,ant,NA,NA,NA,NA,"Esler 1988; Fromont & King 1992; van der Pijl 1982, cited in SID; Higgins et al. 2006",Dispersed by birds (Fromont & King 1992); Asparagus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,"dispersed by ants (van der Pijl 1982, cited in Kew SID). Seeds in silvereye droppings, Australia (Higgins et al. 2006).",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,2,1,1
Asparagus scandens Thunb.,Asparagus scandens,NA,climbing asparagus,NA,vine,shrub,NA,"NZ Flora Online: bank, cliff, coast, dry, flat , forest, gully, hill, lava, loam, lowland, margin, open, pasture, roadside, rock outcrop, sand, shaded, sheltered, shrubland, slope, terrace. NZPCN: lowland and coastal forest, shrublands, mature broadleaf/podocarp forests especially those of light to moderate shade, streams, coastal areas, shrublands, epiphytic niches, roadsides, gravel pits/quarries, farm hedges, house gardens and wasteland areas. Can infest unmodified and fully intact forest.",riparian,berry,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Fromont & King 1992; Timmins & Mackenzie 1995; Atkinson 1997,"Spread by birds, especially blackbirds (Fromont & King 1992); Asparagus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).",NA,NA,NA,2023-06-15T00:00:00Z,45092,NA,1,1,0
Asphodelus fistulosus L.,Asphodelus fistulosus,NA,onion weed,NA,NA,herb,0.4,"NZ Flora Online: bank, cliff, coast, dry, gravel, open, roadside, rock outcrop, sand, slope, stone, unstable/eroded, wasteland, wetland; NZPCN: Usually coastal areas",NA,capsule,dry,none,0.0027,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-02T00:00:00Z,45034,2022-06-22T00:00:00Z,0,1,0
Azolla pinnata R.Br.,Azolla pinnata,NA,ferny azolla,NA,NA,NA,NA,NA,NA,spore,fern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Baccharis halimifolia L.,Baccharis halimifolia,NA,cotton seed tree,NA,NA,shrub,4,NA,NA,achene,dry,pappus,1e-4,wind,NA,wind,water,internal,NA,NA,"Seeds have been recorded as drifting up to 140 m from a 2 m high plant. However, most seeds fall within a few metres of the parent plant (Sims-Chilton & Panetta 2011)",Sims-Chilton & Panetta 2011; Almeida et al. 2025,NA,seeds are attached to a pappus and are readily dispersed by wind and water (Sims-Chilton & Panetta 2011). Seeds ingested by waterfowl in Noth America (Almeida et al. 2025).,NA,NA,2022-06-03T00:00:00Z,NA,2022-06-22T00:00:00Z,3,1,2
Banksia integrifolia L.f.,Banksia integrifolia,NA,coastal banksia,large shrub or small tree,NA,tree,15,"NZ Flora Online: bank, clay, cliff, coast, dry, forest, hill, loam, lowland, margin, moist, open, pasture, peat, ridge, roadside, rock outcrop, sand, scrubland, sheltered, shrubland, silt, slope, stone, terrace, wasteland, wetland",NA,cone,dry,winged seed,0.01366,wind,NA,wind,NA,NA,NA,NA,300 m,"Australian National Herbarium https://www.anbg.gov.au/banksia/, accessed 1/6/2023; Weedbusters website https://www.weedbusters.org.nz/what-are-weeds/weed-list/coastal-banksia/, accessed 1/6/2023",Spreads locally by seed fall and wind dispersal up to at least 300m from seeding trees.,seeds are released spontaneously upon maturity (Price & Morgan 2003),NA,NA,2022-06-03T00:00:00Z,NA,2023-04-18T00:00:00Z,1,1,0
Bartlettina sordida (Less.) R.M.King & H.Rob.,Bartlettina sordida,NA,Bartlettina,NA,NA,shrub,2,"NZ Flora Online: bank, clay, dry, forest, lowland, margin, open, pasture, ridge, roadside, scrubland, sheltered, slope, wasteland",NA,achene,dry,pappus,NA,wind,NA,wind,NA,NA,NA,NA,NA,"NZPCN website, accessed 11 April 2023",NA,NA,NA,NA,2022-06-03T00:00:00Z,45027,NA,1,1,0
Bellis perennis L.,Bellis perennis,NA,double daisy,peduncle (flower stalk) 3-15 (-25) cm long,NA,herb,0.15,NA,NA,achene,dry,none,1.1999999999999999e-4,unspecialised,NA,internal,NA,NA,NA,NA,NA,Welch 1985; Albert et al. 2015,pappus absent,"Combination: wind+animal+unassisted; Method not stated; (van der Pijl, 1982); Also dispersed by water. Diaspore=achene. Achenes fall beneath/close to the parent plant and are possibly thrown further from the plant by the action of wind on the peduncle and infrutescence. Granivorous birds and rainwash are probably also involved in dispersal; Seeds are dispersed internally by deer (Albert et al. 2015). seeds germinated from cattle & sheep dung (Welch 1985).",NA,NA,2022-06-03T00:00:00Z,NA,2023-04-18T00:00:00Z,1,1,1
Berberis darwinii Hook.,Berberis darwinii,NA,Darwin's barberry,shrub to C. 4 m high,NA,shrub,4,"NZ Flora Online: bank, clay, cliff, coast, dry, forest, forest edge, gully, hill, lake margin, loam, lowland, margin, open, pasture, ridge, roadside, rock outcrop, sand, scrubland, shaded, sheltered, slope, stone, terrace, track, unstable/eroded. NZPCN: low forest, scrub, forest margins and shrublands. Plant found in remnant forest stands, scrub, along forest and plantation margins, roadsides in Chile (Webb, Sykes and Garnock-Jones 1988). Plant found in forest margins, second-growth bush, scrub, plantations and roadsides.",NA,berry,fleshy,fleshy,0.00845,internal,NA,internal,NA,NA,NA,NA,NA,Timmins & Mackenzie 1995; Burrows 1995; Higgins et al. 2006,bird dispersed (Burrows 1995). Silvereyes feed on fruit (Higgins et al. 2006).,"England: fruits much sought after by birds in summer, especially in dry weather & largely by juvenile blackbirds (Snow & Snow 1988).",NA,NA,2023-06-16T00:00:00Z,45093,2023-06-16T00:00:00Z,1,1,0
Berberis glaucocarpa Stapf,Berberis glaucocarpa,NA,barberry,shrub to c. 7 m high,NA,shrub,7,"NZ Flora Online: bank, clay, cliff, coast, dry, forest, forest edge, gorge, gully, hill, loam, lowland, margin, moist, open, pasture, ridge, riparian, roadside, rock outcrop, sand, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland, wetland",riparian,berry,fleshy,fleshy,0.0422,internal,NA,internal,NA,NA,NA,NA,NA,Williams & Karl 1996; Wyman & Kelly 2017,Intact seeds found in possum droppings (Wyman & Kelly 2017),NA,NA,NA,2023-06-16T00:00:00Z,NA,NA,1,1,0
Betula pendula Roth,Betula pendula,NA,silver birch,NA,NA,tree,25,"NZ Flora Online:  dry, gravel, lowland, margin, montane, open, sand, stone, terrace, wasteland; NZPCN: wetland",NA,catkin,dry,winged seed,6e-4,wind,NA,wind,attachment,internal,NA,NA,NA,Webb et al. 1988; Mouissie et al. 2005; Albert et al. 2015; Almeida et al. 2022,"light, wind-dispersed fruits with bracts (Webb et al. 1988); light nutlet with large wing","Wind; Diaspore is blown by wind; Method not stated; (Young & Young, 1992, cited in Kew SID); Diaspore=nut. The diaspore has wings or wing-like features. Combination: wind+animal; Method not stated; (Bouman et al., 2000, cited in Kew SID); seeds dispersed by deer internally (sometimes) and in fur and hooves (always; Albert et al. 2015); seeds occasionally attached to fleece on experimental sheep dummy but not cattle dummy (Mouissie et al. 2005).  seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-03T00:00:00Z,45034,2022-06-19T00:00:00Z,3,1,2
Bidens frondosa L.,Bidens frondosa,NA,beggars' ticks,NA,NA,herb,2,"NZ Flora Online: bank, clay, coast, dry, forest, gravel, lake margin, lowland, margin, moist, pasture, peat, riparian, roadside, sand, silt, stone, terrace, wasteland; NZPCN: Water body margins, swamps, damp waste places and low-lying areas",riparian,achene,dry,pappus with barbed awns; barbed spines; seeds have two sharp barbs (NZ Flora Online); adhesive burr,0.0049299999999999995,attachment,NA,attachment,water,internal,bird nesting material,NA,NA,"Esler 1988; Couvreur et al. 2004; Kehr et al. 2014; Warren et al. 2017; NZPCN; Almeida et al. 2022, 2025","Bidens spp. have barbed spines which cling to clothing and animal coats (Esler 1988); two barbed teeth easily attaching to clothing and hair (NZPCN, factsheet prepared by Paul Champion and Deborah Hofstra (NIWA))","B. frondosa dispersed by hydrochory, sampled in river (Kehr et al. 2014); seeds dispersed attached to cattle and donkey fur (Couvreur et al. 2004); seeds ingested by waterfowl in Europe (Almeida et al. 2022) and North America (Almeida et al. 2025). Dispersed in bird nesting material (Warren et al. 2017).",NA,NA,2022-06-03T00:00:00Z,45034,2022-06-19T00:00:00Z,4,1,3
Bomarea multiflora (L.f.) Mirb.,Bomarea multiflora,NA,NA,vine; fruit is a capsule that splits to release bright orange or red fleshy seeds,vine,shrub,NA,"NZ Flora Online: bank, dry, forest, gully, hill, lowland, margin, open, pasture, roadside, sheltered, shrubland, slope, terrace",NA,dehiscent capsule with fleshy seeds,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,NA,NA,NA,dispersal based on morphology,NA,2022-06-03T00:00:00Z,NA,NA,1,1,0
Bromus tectorum L.,Bromus tectorum,NA,cheat grass,NA,grass,herb,0.8,"NZ Flora Online: bank, coast, dry, grassland, gravel, hill, loam, lowland, montane, open, pasture, ridge, roadside, rock outcrop, sand, slope, terrace, track, wasteland",NA,caryopsis,dry,long awns,0.003,attachment,NA,attachment,wind.none,internal,NA,NA,NA,Cronk & Fuller 1995; Eichberg et al. 2007; Albert et al. 2015; Rutledge & McLendon sine anno,Bromus hordaceaous has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg). B. fonkii and B. willdenowii have no structures directly aiding active seed dispersal and large seeds >10 mg (Esler 1988).,"Animal; Diaspore is carried accidentally; Method not stated; (Rutledge & McLendon, sine anno), Mammals (non-bat) Rutledge, C.R. and T. McLendon. sine anno. An Assessment of Exotic Plant Species of Rocky Mountain National Park. Department of Rangeland Ecosystem Science, Colorado State University. Online. Available: http://www.npwrc.usgs.gov/resource/plants/explant/index.htm). 29/10/07; Also dispersed by wind (SID). wind dispersed (Cronk & Fuller 1995); seeds are dispersed in deer fur (always; Albert et al. 2015); seeds germinated from sheep faeces (Eichberg et al. 2007)",NA,NA,2022-06-03T00:00:00Z,NA,2022-06-19T00:00:00Z,3,1,2
Bryonia cretica L.,Bryonia cretica,Bryonia dioica,white bryony,genus not in flora (see NZ Flora Online B. cretica subsp. dioica and NZPCN website); tendril-climbing herbaceous plant; vine to 6 m tall,vine,shrub,6,"NZPCN: Disturbed and open forest and shrubland, stream edges",riparian,berry,fleshy,fleshy,0.02247,internal,NA,internal,NA,NA,NA,NA,NA,NZPCN; Snow & Snow 1988,Seed dispersed by birds (NZPCN),"England: fruits eaten by blackbird, song thrush & other bird species (Snow & Snow 1988). Czechoslovakia: fruits eaten by starling (Snow & Snow 1988).",NA,NA,NA,45093,2023-06-16T00:00:00Z,1,1,0
Buddleja davidii Franch.,Buddleja davidii,NA,buddleia,NA,NA,shrub,3,"NZ Flora Online: bank, clay, cliff, coast, dry, forest, forest edge, gap, gorge, gravel, hill, lava, lowland, margin, open, pasture, ridge, riverbed, roadside, rock outcrop, sand, sheltered, shrubland, slope, stone, terrace, track, tree, unstable/eroded, wasteland; NZPCN: Terrestrial. Occurs in Lowland sites with low-moderate fertility (Timmins & MacKenzie 1995). Colonises new, coarse-textured, nitrogen deficient surfaces (Smale 1990). Colonises stable habitats (Kay & Smale 1990). Thrives on free-draining pumice soils of the central north island (Mike Harre, pers comm.) Found in scrub and forest margins, cliffs, bluffs and riverbeds (Timmins & MacKenzie 1995). Colonises alluvial sites (Smale 1990).Very invasive of forest margins and revegetation areas (Porteus 1993). The plant is invasive of waste spaces, river beds and plantation forests especially following land disturbance i.e. forest harvesting (Golden Bay Gazette, 27/12/96).",riparian,capsule,dry,winged seed,1e-4,wind,NA,wind,water,NA,NA,NA,NA,Timmins & Mckenzie 1995; Tallent-Halsell & Watt 2009,seed dispersed by wind and water (Timmins & Mckenzie 1995),"seeds have long wings; majority dispersed 10 m or more, maximum dispersal distance unknown; also reported to be water dispersed, especially along sea coasts, floodplains and riparian corridors (Tallent-Halsell & Watt 2009).",NA,NA,2022-06-03T00:00:00Z,NA,2022-06-19T00:00:00Z,2,1,1
Buddleja madagascariensis Lam.,Buddleja madagascariensis,NA,Madagascar buddleia,fruit not seen,NA,NA,NA,NA,NA,berry,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-19T00:00:00Z,NA,NA,0,0,NA
Biancaea decapetala (Roth) O.Deg.,Biancaea decapetala,Caesalpinia decapetala,mysore thorn,scrambling shrub to c. 15 m tall,NA,shrub,15,"NZ Flora Online: cliff, coast, flat , open, pasture, rock outcrop, shrubland",NA,pod,dry,none,1.2449000000000001,unspecialised,NA,water,wind.none,NA,NA,NA,NA,Hosaka & Thistle 1954; West 1996; Starr et al. 2003,Seeds are not dispersed far from parent plants (West 1996). Seeds lie in the open pod until disturbed by rain or wind (West 1996).,"Starr et al. 2003: The medium sized seeds may be dispersed by rodents and granivorous birds, but man is almost certainly the principal dispersal agent in Hawai’i (Smith 1985). Hosaka and Thistle (1954) note that the seed is spread considerable distances by running water. It is thought that the Maui plants may have been the result of seeds in mud on large machinery used to do road work on the Hana Hwy.",NA,NA,2022-06-03T00:00:00Z,NA,2023-04-18T00:00:00Z,2,1,2
Callistachys lanceolata Vent.,Callistachys lanceolata,Oxylobium lanceolatum,oxylobium,tall shrub or tree,NA,tree,7,"Waste places, scrubland, often in sandy coastal sites (Webb et al 1988)",NA,pod,dry,none,NA,unspecialised,NA,unknown,NA,NA,NA,NA,NA,Hopley & Byrne 2018,has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988).,gravity dispersed seed (Hopley and Byrne 2018),NA,NA,2022-06-03T00:00:00Z,NA,NA,0,1,0
Calluna vulgaris (L.) Hull,Calluna vulgaris,NA,heather,NA,NA,shrub,0.5,"NZ Flora Online: alpine, bank, clay, coast, dry, forest, grassland, gravel, hill, margin, moist, montane, open, pasture, peat, ridge, roadside, rock outcrop, sand, shrubland, slope, stone, terrace, track, tussockland, wasteland; NZPCN: A plant of montane, subalpine and alpine habitats. The plant grows in sites of low - moderate fertility. Plant found in scrub and forest margin, shrubland, tall and short tussockland, herbfields, riverbeds, wetlands, alpine gravel fields, dune slacks and road edges.",riparian,capsule,dry,none,2.9999999999999997e-5,unspecialised,NA,wind.none,internal,attachment,NA,NA,"91.3% of seeds dispersed within 0.8m of plant centre, maximum distance 80m rare events",Welch 1985; Timmins & Mackenzie 1995; Bullock & Clarke 2000; Mouissie et al. 2005; Albert et al. 2015; Almeida et al. 2022,"gravity, wind dispersal; seed dispersal calculated at 100 m in winds of 10 m/s & 250 m in 30-40 m/s (Timmins & Mackenzie 1995)","wind dispersed but no special adaptations, measured dispersal distances using seed traps around isolated plants (Bullock & Clarke 2000); seeds dispersed by deer internally (sometimes) and in fur and on hooves (sometimes; Albert et al. 2015); seeds attached to experimental sheep and cattle dummies (Mouissie et al. 2005). seeds germinated from cattle, red deer, hare and red grouse dung (Welch 1985).  seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z,3,1,3
